Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
411		0.1405		0.3870		0.0000		0.6962		0.00010790
412		0.1407		0.3469		0.0000		0.7031		0.00010684
413		0.1368		0.4096		0.0000		0.6963		0.00010577
414		0.1381		0.3741		0.0000		0.7033		0.00010470
415		0.1374		0.4058		0.0000		0.6988		0.00010362
416		0.1444		0.3794		0.0000		0.6933		0.00010255
417		0.1462		0.4266		0.0000		0.6878		0.00010148
418		0.1421		0.3952		0.0000		0.6880		0.00010040
419		0.1419		0.4282		0.0000		0.6952		0.00009933
420		0.1446		0.3964		0.0000		0.6943		0.00009825
421		0.1427		0.3949		0.0000		0.6924		0.00009717
422		0.1408		0.4315		0.0000		0.6947		0.00009609
423		0.1375		0.3988		0.0000		0.6991		0.00009501
424		0.1421		0.3859		0.0000		0.7007		0.00009393
425		0.1381		0.3900		0.0000		0.6960		0.00009284
426		0.1379		0.4048		0.0000		0.6959		0.00009175
427		0.1369		0.3902		0.0000		0.6976		0.00009067
428		0.1391		0.4169		0.0000		0.7010		0.00008958
429		0.1361		0.3974		0.0000		0.6958		0.00008849
430		0.1370		0.4219		0.0000		0.6998		0.00008740
431		0.1358		0.4176		0.0000		0.6974		0.00008630
432		0.1379		0.4212		0.0000		0.6969		0.00008521
433		0.1339		0.4052		0.0000		0.6988		0.00008411
434		0.1350		0.4306		0.0000		0.6927		0.00008301
435		0.1340		0.4025		0.0000		0.7026		0.00008192
436		0.1350		0.3939		0.0000		0.7002		0.00008081
437		0.1382		0.4123		0.0000		0.7028		0.00007971
438		0.1364		0.4032		0.0000		0.6979		0.00007861
439		0.1336		0.3991		0.0000		0.7079		0.00007750
440		0.1352		0.4179		0.0000		0.6912		0.00007639
441		0.1358		0.3922		0.0000		0.6991		0.00007528
442		0.1326		0.4018		0.0000		0.7022		0.00007417
443		0.1366		0.3812		0.0000		0.7094		0.00007306
444		0.1338		0.4048		0.0000		0.7072		0.00007194
445		0.1315		0.4246		0.0000		0.7038		0.00007082
446		0.1326		0.4024		0.0000		0.7020		0.00006971
447		0.1329		0.4095		0.0000		0.7039		0.00006858
448		0.1328		0.4167		0.0000		0.6983		0.00006746
449		0.1338		0.3706		0.0000		0.7021		0.00006634
450		0.1329		0.4016		0.0000		0.7066		0.00006521
451		0.1320		0.3894		0.0000		0.7017		0.00006408
452		0.1316		0.4132		0.0000		0.7030		0.00006295
453		0.1316		0.4310		0.0000		0.6965		0.00006181
454		0.1297		0.4095		0.0000		0.7061		0.00006068
455		0.1297		0.4407		0.0000		0.6980		0.00005954
456		0.1291		0.4004		0.0000		0.7002		0.00005840
457		0.1296		0.4039		0.0000		0.7023		0.00005725
458		0.1300		0.4290		0.0000		0.7054		0.00005611
459		0.1293		0.3967		0.0000		0.7025		0.00005496
460		0.1305		0.4171		0.0000		0.7005		0.00005380
461		0.1280		0.3999		0.0000		0.7044		0.00005265
462		0.1300		0.3983		0.0000		0.7051		0.00005149
463		0.1289		0.4063		0.0000		0.7042		0.00005033
464		0.1288		0.3959		0.0000		0.7004		0.00004917
465		0.1281		0.4415		0.0000		0.6975		0.00004800
466		0.1275		0.3780		0.0000		0.7108		0.00004683
467		0.1275		0.4232		0.0000		0.7055		0.00004566
468		0.1270		0.3863		0.0000		0.7010		0.00004449
469		0.1265		0.4096		0.0000		0.7018		0.00004331
470		0.1313		0.4028		0.0000		0.7038		0.00004212
471		0.1282		0.4085		0.0000		0.6970		0.00004094
472		0.1288		0.4256		0.0000		0.6957		0.00003975
473		0.1266		0.4080		0.0000		0.6990		0.00003855
474		0.1252		0.4196		0.0000		0.7025		0.00003735
475		0.1251		0.4258		0.0000		0.7019		0.00003615
476		0.1262		0.4120		0.0000		0.6997		0.00003494
477		0.1248		0.4144		0.0000		0.7010		0.00003373
478		0.1243		0.4191		0.0000		0.6999		0.00003252
479		0.1262		0.4090		0.0000		0.6938		0.00003129
480		0.1245		0.4037		0.0000		0.7107		0.00003007
481		0.1244		0.4299		0.0000		0.7033		0.00002883
482		0.1237		0.4201		0.0000		0.7046		0.00002759
483		0.1258		0.4251		0.0000		0.7064		0.00002635
484		0.1253		0.4230		0.0000		0.7039		0.00002510
485		0.1249		0.4129		0.0000		0.7060		0.00002384
486		0.1235		0.4147		0.0000		0.6998		0.00002257
487		0.1234		0.4114		0.0000		0.7077		0.00002130
488		0.1223		0.4039		0.0000		0.7061		0.00002002
489		0.1235		0.3999		0.0000		0.7047		0.00001873
490		0.1225		0.3983		0.0000		0.7088		0.00001742
491		0.1217		0.4376		0.0000		0.7073		0.00001611
492		0.1218		0.4369		0.0000		0.7020		0.00001479
